,uniprot_id,ev_association_score
0,P08962,1.734615436
1,P21754,1.930734981
2,Q96A59,3.03313799
3,Q8NDH2,1.131264879
4,Q8N114,3.472722626
5,P21817,1.483774518
6,Q8NFR9,1.536117747
7,Q86UW2,1.086683955
8,P20309,1.53230973
9,Q9Y2J8,1.74302115
10,Q13563,1.782028191
11,P53985,2.877614411
12,P41732,2.429998766
13,Q08380,1.936536563
14,P24071,1.129486693
15,P29972,5.978439475
16,Q9UHN6,1.78067453
17,Q13936,1.201866136
18,Q14849,1.510923833
19,P41440,1.260150787
20,Q9HD36,1.833426169
21,Q16625,1.735784218
22,Q02505,2.391484374
23,Q5JRA6,1.137126323
24,P32856,2.458368423
25,Q92911,14.25209666
26,O75379,1.191952377
27,P19075,1.556105597
28,O15400,2.552993391
29,Q8N6P7,1.356529352
30,Q9HCU5,1.061194713
