,uniprot_id,ev_association_score
0,Q9UM13,2.047744941
1,P34897,1.088597103
2,P14317,1.321139734
3,O00203,3.437727847
4,P48382,1.449568526
5,O15021,1.250617366
6,Q8TE73,1.114902922
7,P60484,1.308807989
8,Q8N2Z9,1.923947339
9,Q96CA5,1.546482242
10,A6NE01,1.337131051
11,Q16877,1.244188606
12,Q16644,1.297482052
13,O60861,3.516015977
14,P41235,1.467094472
15,Q96MH7,1.458298515
16,O14776,1.245827121
17,Q15126,1.316763622
18,O15212,1.466266557
19,Q5SYC1,1.111169384
20,Q12802,4.012006763
21,Q92817,1.353568295
22,Q49AG3,1.478415058
23,Q7Z698,1.607568878
24,Q9Y2H9,1.115194789
25,P49116,13.19677964
26,Q9HCS5,1.211155212
27,O96013,1.103646001
28,O60356,1.782987655
29,Q5T6C5,1.878853736
30,Q6PI47,1.159976247
31,P0C7W6,3.053878401
32,Q9NWM3,1.746519978
33,O00161,3.234346262
34,A1YPR0,1.182340105
35,Q16825,1.388486069
36,P43355,1.536187211
37,Q6P0Q8,1.355977991
38,Q15388,1.36420427
39,Q8IYX8,11.87821534
40,Q9BV73,1.22715266
41,A6NI79,1.763575086
42,Q9Y259,1.283930194
43,Q9Y6B2,1.34826893
44,Q6ZU67,1.184658422
45,P48431,1.156062061
46,P54296,2.57884664
47,Q8N9N5,3.043118879
48,Q14191,1.643758091
49,Q8IWW6,1.191628597
50,Q9ULG3,1.339816226
51,Q5SXH7,1.463883753
52,Q9HCM7,1.989042436
53,Q96MW7,1.160992035
54,Q8IZQ5,1.823173567
55,P08758,1.876642505
56,Q6ZW76,2.041889147
57,Q7Z6K4,1.453282528
58,Q8IW35,1.241782356
59,Q99584,1.728405754
60,Q96IU4,1.228928884
61,Q9NUG6,1.747386457
62,Q9H0F5,1.474460782
63,P10074,1.227581447
64,Q16650,1.194689183
65,Q8WV41,1.289301286
66,Q2M2D7,1.44955149
67,Q5TFG8,2.728104908
68,Q8TDY4,1.232706085
69,P09874,1.308742379
70,Q6ZNJ1,1.63260392
71,Q9BV57,1.269340623
72,P53778,1.23456727
73,Q8NEZ2,1.12320915
74,O00221,1.763129271
75,Q9NQT4,1.680512924
76,Q9HA47,1.187130409
77,P46199,2.219294823
78,Q9H8E8,1.854286154
79,O75391,1.149621653
80,Q15032,2.055802831
81,Q96G42,1.236711755
82,Q9Y233,1.178818949
83,Q15696,30.93336228
84,Q9NSC5,1.428691938
85,Q8TF72,1.431518945
86,Q9P2D7,1.829473429
87,P55273,1.213223429
88,A2A288,23.20279057
89,Q15435,36.09310312
90,Q7Z3Z3,1.478878977
91,Q9H2M3,1.215634058
92,Q9Y2K2,1.656847313
93,Q6P5Q4,2.152395186
94,Q9UDT6,2.01479914
95,Q96F83,13.89271994
96,Q96AY2,1.873925378
97,O94979,2.649121745
98,Q9NXH3,1.205488943
99,Q9HAW4,1.691102114
