,uniprot_id,ev_association_score,tau_scores
0,Q9NQ94,0.868090394,0.035714286
1,Q96I13,0.959626412,0.074162022
2,Q8WYK0,0.721949527,0.098994879
3,Q08AH1,0.88816096,0.055027168
4,Q8N7X0,1.354085527,0.035714286
5,P21549,0.995607795,0.035714286
6,Q9NZD4,0.839592748,0.035714286
7,O60218,1.016022217,0.035714286
8,P17516,1.012107702,0.035714286
9,P30838,0.885176709,0.035714286
10,Q9Y303,0.939073439,0.044799831
11,Q6DCA0,0.612450839,0.206430689
12,Q9GZV1,1.117196666,0.035714286
13,Q6NSI1,0.974674639,0.035714286
14,Q8N9V6,1.264749102,0.07806329
15,Q6ZW76,2.041889147,0.09815651
16,A6NFN9,1.420226392,0.047449705
17,Q9BWW9,1.261827288,0.035714286
18,P36575,0.056387989,0.035714286
19,Q8WXH4,1.19979118,0.035714286
20,A6NK59,1.138379567,0.035714286
21,Q8WXK1,0.623736837,0.223189687
22,Q99929,1.004071126,0.035714286
23,Q86U10,0.824112653,0.035714286
24,Q8WWH4,1.036123736,0.035714286
25,Q8N8Y2,0.773978429,0.13098708
26,Q9UPN4,0.892782146,0.059750969
27,Q9UL15,0.551027613,0.226465684
28,P46379,0.807843225,0.200867114
29,Q6UXY1,1.05270618,0.035714286
30,Q16520,3.281697552,0.035714286
31,Q8NDZ0,2.090700207,0.035714286
32,Q7RTS1,0.486943564,0.035714286
33,Q96CA5,1.546482242,0.035714286
34,Q13867,0.130549355,0.153277566
35,Q01954,1.238158467,0.035714286
36,Q58F21,0.394949959,0.035714286
37,Q8IWQ3,0.93106936,0.171603059
38,Q9NY30,1.929461983,0.179010481
39,O60566,0.636486905,0.068069859
40,Q5T681,0.098584372,0.213707887
41,Q8IYJ2,0.179664723,0.16508445
42,Q711Q0,0.84609509,0.035714286
43,Q5SXH7,1.463883753,0.035714286
44,P0C7W6,3.053878401,0.035714286
45,Q8IXW0,0.862158516,0.035714286
46,Q86WS4,1.164539628,0.139310464
47,Q8N769,0.979778298,0.035714286
48,Q7Z2Z1,0.903872838,0.127915399
49,Q86Y26,1.187576758,0.244029513
50,P0CG20,0.763511241,0.035714286
51,Q7L2K0,1.454392095,0.035714286
52,Q8IYS4,0.074992485,0.050972279
53,Q8WTQ4,1.012358169,0.035714286
54,Q7Z2V1,0.962743325,0.035714286
55,A6NNT2,1.088619515,0.035714286
56,Q8WW18,1.169022397,0.035714286
57,Q8IVT2,2.034557708,0.035714286
58,Q8WUQ7,0.986529873,0.234564098
59,Q9GZP8,0.880292123,0.035714286
60,Q0VDD7,1.123697667,0.065220598
61,Q5VWT5,1.197944185,0.060114497
62,Q8NAX2,1.112216975,0.035714286
63,Q5T0J7,1.028771038,0.035714286
64,Q8NHU2,0.708852329,0.035714286
65,Q8WYQ4,1.232497058,0.035714286
66,Q6IC83,1.142501881,0.035714286
67,Q8TF44,0.909527549,0.035714286
68,Q96LM6,1.21539926,0.035714286
69,Q53QW1,1.126025898,0.035714286
70,A6NGG8,0.563717365,0.232696961
71,A6NN90,0.786564656,0.147118491
72,Q53S99,1.344500932,0.035714286
73,Q6NXP0,0.944914526,0.247992514
74,Q9Y2M2,0.817589816,0.241388424
75,Q53FE4,1.023851879,0.035714286
76,Q6V702,0.980077386,0.035714286
77,Q5T5N4,0.971678639,0.076037547
78,Q587J8,1.113705171,0.006972143
79,P0C671,0.714100547,0.035714286
80,Q0IIN9,1.175481464,0.035714286
81,E5RJ46,1.285584629,0.035714286
82,Q9BU70,1.035604734,0.201643089
83,A8MQ03,0.989599675,0.068492483
84,C9J069,1.352158907,0.035714286
85,Q5VXU9,0.835390172,0.152927266
86,Q9NPB3,0.931104733,0.035714286
87,Q8TC20,1.543020977,0.035714286
88,Q8TD86,1.743039256,0.035714286
89,A6NHC0,1.25782659,0.035714286
90,Q13938,0.685500273,0.089175867
91,P42575,0.898928181,0.166849038
92,Q86V15,0.359592708,0.035714286
93,Q96A19,1.118712244,0.035714286
94,Q96MF4,1.099563887,0.035714286
95,Q569K6,0.632323463,0.035714286
96,Q8N5R6,0.943583157,0.035714286
97,Q8NA47,0.888473407,0.035714286
98,A1A5D9,0.823518619,0.035714286
99,Q05D60,1.175134417,0.035714286
100,Q6ZRK6,0.856289001,0.035714286
101,A6NC98,0.568055002,0.035714286
102,Q96EA4,0.722499611,0.143610958
103,Q8TD31,1.347200209,0.053248786
104,P30307,1.322757979,0.061511002
105,Q6DT37,1.033315835,0.035714286
106,Q9Y6F8,1.697930439,0.035714286
107,Q12798,1.087336365,0.051928676
108,Q96CF2,1.118626252,0.161955858
109,O95833,1.085925437,0.035714286
110,Q8NA66,1.04372786,0.035714286
111,Q969H4,0.93847681,0.066854893
112,P26441,0.369262481,0.035714286
113,Q9UBG3,0.867813048,0.035714286
114,O43186,0.887415451,0.035714286
115,P02489,0.963969658,0.035714286
116,P07320,1.17971515,0.098823664
117,P50461,1.168561813,0.190971052
118,P78358,1.054990567,0.035714286
119,O75409,0.700253944,0.035714286
120,A8MYA2,0.71916418,0.035714286
121,B1ATL7,1.675361418,0.079325853
122,Q14093,1.41549409,0.035714286
123,Q07973,0.960578436,0.035714286
124,Q99418,0.928041486,0.220358565
125,Q9NQZ3,0.96550831,0.035714286
126,Q86SG3,0.953449347,0.035714286
127,P20711,0.633206106,0.035714286
128,Q8WTU0,1.115351171,0.11418495
129,Q9Y6V7,0.760720447,0.199789843
130,Q5TB30,1.256503594,0.035714286
131,Q16760,1.150022641,0.24949035
132,Q13574,1.002242805,0.188183482
133,Q8IY37,0.961297078,0.090119813
134,Q14562,0.953671701,0.198684008
135,Q8IYB7,1.34505251,0.249351352
136,Q15398,1.398289263,0.115341743
137,O60479,0.163085884,0.035714286
138,Q8IVF4,1.237009642,0.236817308
139,Q8WWF6,1.049925045,0.035714286
140,Q8NHS0,1.013449067,0.035714286
141,Q9BU89,0.687342251,0.062684751
142,Q18PE1,1.024827778,0.035714286
143,A6NNA5,1.209042894,0.035714286
144,Q86UW9,1.049887836,0.247800557
145,Q68J44,0.792508834,0.035714286
146,Q96G46,0.995263555,0.144309282
147,Q9H1R2,1.039728283,0.016968286
148,P33316,0.722036454,0.035714286
149,Q8WXU2,0.904850728,0.035714286
150,Q9HAE3,0.272580212,0.186874345
151,A6NFE3,1.546651868,0.035714286
152,Q15056,0.873576996,0.231616061
153,Q05925,1.295927204,0.035714286
154,P19622,1.195487828,0.111773151
155,Q8IYW4,0.993649105,0.035714286
156,Q9H201,1.152721574,0.035714286
157,P58107,0.552584033,0.035714286
158,Q14674,0.710180277,0.035714286
159,Q96CN4,1.077815392,0.231394418
160,Q92817,1.353568295,0.035714286
161,A8MZ36,1.598588843,0.035714286
162,Q03828,1.480830777,0.035714286
163,Q9NQT5,1.118269491,0.240221483
164,P12104,0.830775374,0.173244392
165,Q0Z7S8,12.98239734,0.035714286
166,Q6ZTI6,0.938243972,0.035714286
167,Q6SJ93,1.16253221,0.017321533
168,Q6J272,1.312967782,0.035714286
169,A6NMN3,1.142272488,0.035714286
170,A6NE01,1.337131051,0.079129493
171,Q7L0X2,0.53091527,0.127665306
172,A6NMK8,1.480796033,0.035714286
173,Q8NA70,1.1272415,0.035714286
174,Q8N5Q1,0.655929965,0.035714286
175,Q96LP2,1.388799824,0.035714286
176,Q5T0W9,1.334838945,0.162738082
177,Q9BQN1,1.023851879,0.035714286
178,Q8NEG4,0.669381135,0.035714286
179,A6NDY2,0.624315009,0.035714286
180,Q6PCT2,3.591706379,0.035714286
181,O14526,0.47937506,0.076073471
182,Q86WN1,0.945943093,0.230388723
183,P07332,0.698022153,0.219120383
