,uniprot_id,ev_association_score,tau_scores
0,P16442,0.924566742,0.035714286
1,Q9BYF1,0.939956942,0.035714286
2,P78325,1.186991263,0.101013657
3,Q15109,1.195439951,0.245411824
4,Q9BXJ7,0.882297208,0.035714286
5,Q6Q4G3,0.964030887,0.035714286
6,Q5T9A4,0.919037379,0.035714286
7,Q9UN42,1.059962453,0.035714286
8,Q6L9W6,1.244501821,0.035714286
9,Q8WZ55,1.140642676,0.035714286
10,Q7Z6A9,1.054689133,0.123825994
11,Q13410,0.768061587,0.0715099
12,Q6ZMZ3,1.091430236,0.110430113
13,O95866,1.144945791,0.199481498
14,Q16790,0.089182963,0.035714286
15,O95180,0.816113921,0.035714286
16,Q6UWJ8,1.012278517,0.035714286
17,P29017,0.80060322,0.240071677
18,Q6Q8B3,0.508127076,0.035714286
19,Q9UJ71,0.995399486,0.081739055
20,Q6UXZ3,1.155819824,0.035714286
21,Q6UXG3,0.764237028,0.204890458
22,P09693,0.959940756,0.035714286
23,P29965,0.821450076,0.067132486
24,P30203,1.038709217,0.035714286
25,P09564,0.752564191,0.035714286
26,P11912,0.843472926,0.035714286
27,P55291,0.745673933,0.035714286
28,Q12864,1.053486806,0.035714286
29,Q9BYE9,0.854644405,0.035714286
30,A6H8M9,1.02966987,0.035714286
31,Q9HBB8,0.57159019,0.035714286
32,Q7Z692,0.781612519,0.151201252
33,Q6UY09,1.209201302,0.035714286
34,P40198,0.935474917,0.035714286
35,P06731,0.760618151,0.035714286
36,P40199,0.972344326,0.035714286
37,Q14002,1.144245711,0.035714286
38,P31997,1.229436104,0.035714286
39,Q8NCG5,1.209445283,0.035714286
40,Q9P126,1.369315634,0.035714286
41,Q8WTT0,1.095135911,0.035714286
42,Q9H2X3,1.149631957,0.035714286
43,Q6EIG7,0.436341396,0.035714286
44,Q16281,1.048317498,0.062137772
45,P20023,0.430777024,0.035714286
46,P34998,0.981523212,0.035714286
47,O75462,0.986908913,0.035714286
48,Q9HC73,2.699169941,0.035714286
49,Q6UVK1,0.090777241,0.035714286
50,Q5H943,0.784956899,0.035714286
51,P05177,1.253830028,0.035714286
52,Q6V0L0,1.20838504,0.035714286
53,P80370,0.14685785,0.035714286
54,Q3MIW9,1.126783226,0.035714286
55,P14416,0.571587325,0.07874008
56,Q14126,0.607073932,0.035714286
57,P32926,0.564582273,0.035714286
58,Q86SJ6,0.894346253,0.035714286
59,Q9NRD8,1.014232681,0.035714286
60,Q6UW88,1.04235478,0.054660466
61,P21709,0.811795756,0.063533581
62,Q92935,0.780466972,0.106732662
63,A8MVW0,0.845344167,0.079358083
64,Q6UWF7,1.146668904,0.237143688
65,P48023,0.641102494,0.035714286
66,Q8WWV6,0.964690473,0.035714286
67,P06734,0.672315566,0.035714286
68,Q96LA6,0.782260064,0.035714286
69,Q96LA5,1.555101019,0.035714286
70,Q96P31,1.095187217,0.035714286
71,Q96RD9,1.009987606,0.035714286
72,P22455,1.480288475,0.035714286
73,O00144,1.094546221,0.035714286
74,O00591,1.422485529,0.035714286
75,Q7Z7M9,0.820735675,0.035714286
76,Q6UXV0,1.447340554,0.035714286
77,Q02643,1.09599775,0.035714286
78,P48546,1.133427341,0.002477429
79,P48165,1.415721186,0.035714286
80,P13224,0.847223468,0.035714286
81,P40197,0.554714893,0.035714286
82,Q99795,0.823971784,0.035714286
83,Q96P66,1.180459366,0.035714286
84,Q8IZF3,0.93352431,0.035714286
85,P25092,0.978673569,0.035714286
86,A8MVW5,0.784405277,0.23313813
87,P37059,0.814090416,0.035714286
88,Q9UMF0,0.022893281,0.035714286
89,Q9P2J2,0.771351714,0.058931236
90,Q8NFR9,1.536117747,0.170594312
91,O95256,0.795204906,0.159624601
92,Q9HBE5,1.022624128,0.035714286
93,Q8N6P7,1.356529352,0.035714286
94,Q5VWK5,0.298333111,0.035714286
95,P01589,0.345317749,0.037677424
96,P14784,1.258254492,0.035714286
97,Q8NI17,0.634871468,0.046630368
98,Q01113,1.040035008,0.035714286
99,P06213,1.012025894,0.242861054
100,Q6UXK2,0.418006921,0.035714286
101,Q13349,0.77601449,0.035714286
102,P18564,1.239038219,0.035714286
103,Q8IYV9,1.039832445,0.153759965
104,P43629,1.135349513,0.035714286
105,P43630,0.964314571,0.035714286
106,Q8N743,0.787939073,0.035714286
107,Q6UWL6,0.959790897,0.06418263
108,P26715,0.990319079,0.022900429
109,Q13241,1.036050503,0.148799781
110,P18627,0.821416198,0.232257337
111,A6NI73,0.616047918,0.189712186
112,O75427,1.057218179,0.209295438
113,Q5VT99,1.00410268,0.035714286
114,Q06643,1.181611988,0.035714286
115,P29376,0.699505684,0.035714286
116,Q9HBG7,0.791092562,0.035714286
117,Q6UXC1,0.721498918,0.069813377
118,Q96A59,3.03313799,0.083366255
119,Q495T6,0.841314534,0.19213567
120,Q8TCY5,1.018358208,0.035714286
121,P11836,1.289412486,0.035714286
122,Q04912,0.892350807,0.035714286
123,Q9H3R2,1.263015113,0.11779467
124,Q8WXI7,0.857891417,0.035714286
125,O76036,1.120066257,0.114833425
126,O14931,0.738915444,0.035714286
127,P08138,0.658819826,0.024425143
128,O60500,0.824212221,0.035714286
129,Q9NP85,1.049249515,0.035714286
130,P16066,0.841895257,0.035726339
131,P04629,0.817854745,0.035714286
132,Q86UW2,1.086683955,0.035714286
133,Q9UM07,0.962508008,0.035714286
134,Q15116,0.288593573,0.035714286
135,P98161,0.354401483,0.035714286
136,Q9HD43,0.99841233,0.077829601
137,Q96NY8,0.872071181,0.035714286
138,Q96GP6,0.164543702,0.035714286
139,P35499,0.564067043,0.035714286
140,P18827,0.232149513,0.035714286
141,Q13326,1.992760814,0.117989679
142,Q6ZMC9,0.923480779,0.035714286
143,O43699,1.067431742,0.035714286
144,Q9Y3P8,1.14401925,0.035714286
145,Q9NQ25,0.70985782,0.126047085
146,Q9BZW2,1.100865149,0.035714286
147,Q13183,1.211350497,0.035714286
148,O00337,1.142004157,0.129850012
149,Q8N130,0.814465436,0.035714286
150,Q6ZMH5,0.985456096,0.035714286
151,Q53GD3,1.102101832,0.035714286
152,P02730,1.045530135,0.035714286
153,Q92911,14.25209666,0.035714286
154,Q9H5Y7,0.367156623,0.161818667
155,P32745,1.176228754,0.035714286
156,Q8WWQ8,0.706386058,0.035714286
157,Q13190,0.985894786,0.192506912
158,Q9UGT4,0.416525611,0.239534302
159,B6A8C7,0.868323998,0.035714286
160,Q8N6Q1,0.656844002,0.035714286
161,Q86T26,1.149821749,0.035714286
162,O60235,1.030619226,0.035714286
163,P98073,0.944286668,0.035714286
164,Q9NRS4,1.36889661,0.035714286
