Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
A1CF	"APOBEC1 complementation factor"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"liver: 148.5"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 152.6;Distal enterocytes: 91.2;Enteroendocrine cells: 92.5;Hepatocytes: 340.5;Intestinal goblet cells: 59.4;Paneth cells: 90.4;Proximal enterocytes: 148.7;Proximal tubular cells: 91.8"	"Not detected"	"Not detected"			"Not detected"	0.3	0.0	0.4	0.3	0.0	0.0	0.1	0.0
A4GALT	"Alpha 1,4-galactosyltransferase (P blood group)"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 79.7;Basal respiratory cells: 75.6;Ionocytes: 72.9;Proximal tubular cells: 98.6"	"Low region specificity"	"Detected in all"			0.15	0.3	1.2	0.1	0.1	7.2	0.5	0.0	0.5
AAAS	"Aladin WD repeat nucleoporin"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.11	17.0	13.9	7.0	6.3	5.4	6.1	10.6	10.1
AACS	"Acetoacetyl-CoA synthetase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 59.5;Excitatory neurons: 57.4"	"Low region specificity"	"Detected in all"			0.22	15.5	8.7	57.4	27.4	5.4	11.3	11.7	5.5
AADAT	"Aminoadipate aminotransferase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 65.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 21.1;Extravillous trophoblasts: 79.0;Hepatocytes: 27.8;Spermatogonia: 20.1"	"Low region specificity"	"Detected in all"			0.19	21.1	0.0	14.9	13.1	5.4	16.5	13.1	1.9
AAGAB	"Alpha and gamma adaptin binding protein"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	24.8	6.5	43.9	31.7	28.6	24.5	29.6	10.2
AAK1	"AP2 associated kinase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 86.0"	"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 433.3;Rod photoreceptor cells: 731.4"	"Low region specificity"	"Detected in all"			0.14	73.7	63.9	257.0	314.2	149.4	138.7	106.0	36.7
AAMDC	"Adipogenesis associated Mth938 domain containing"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 640.1"	"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	18.6	11.5	6.7	8.5	8.1	17.0	23.2	34.3
AAMP	"Angio associated migratory cell protein"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	10.8	35.0	11.1	12.3	5.4	7.5	9.7	21.4
AANAT	"Aralkylamine N-acetyltransferase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"retina: 10.6;testis: 4.5"	"Cell type enriched"	"Detected in some"	12	"Bipolar cells: 227.5"	"Low region specificity"	"Detected in all"			0.17	0.0	0.0	0.8	0.6	0.0	0.0	0.0	0.0
AAR2	"AAR2 splicing factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	4.3	21.3	6.1	6.8	3.6	4.7	9.2	6.9
AARD	"Alanine and arginine rich domain containing protein"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 21.9;urinary bladder: 7.4"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 24.9;Breast glandular cells: 26.7;Breast myoepithelial cells: 30.5;Proximal tubular cells: 16.1;Sertoli cells: 62.6;Spermatocytes: 44.4"	"Low region specificity"	"Detected in all"			0.16	0.0	0.0	0.8	2.0	0.0	0.0	0.2	0.0
