,uniprot_ids,hgnc_id,symbol,name,alias_symbol,alias_name,ev_association_score
0,Q2V2M9,HGNC:26178,FHOD3,formin homology 2 domain containing 3,FHOS2|KIAA1695|FLJ22297|FLJ22717,,1.487003517
1,Q8N9N5,HGNC:13450,BANP,BTG3 associated nuclear protein,SMARBP1|SMAR1|FLJ20538|DKFZp761H172|FLJ10177|BEND1,BEN domain containing 1,6.590856399
2,P19838,HGNC:7794,NFKB1,nuclear factor kappa B subunit 1,KBF1|p105|NFKB-p50|p50|NF-kappaB|NFkappaB|NF-kB1,Nuclear factor NF-kappa-B p105 subunit,13.83654937
3,P36957,HGNC:2911,DLST,dihydrolipoamide S-succinyltransferase,OGDC-E2|KGD2,Dihydrolipoyllysine-residue succinyltransferase|2-oxoglutarate dehydrogenase complex component E2,1.270204763
4,Q16877,HGNC:8875,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",,,1.202207034
5,O15213,HGNC:13923,WDR46,WD repeat domain 46,BING4|UTP7,,1.123240565
6,Q7Z6K4,HGNC:33843,NRARP,NOTCH regulated ankyrin repeat protein,MGC61598,,1.670176672
7,A6NEL2,HGNC:32958,SOWAHB,sosondowah ankyrin repeat domain family member B,,,1.246829591
8,Q6P0Q8,HGNC:19035,MAST2,microtubule associated serine/threonine kinase 2,MAST205|KIAA0807,,1.644754147
9,Q96MW7,HGNC:14523,TIGD1,tigger transposable element derived 1,EEYORE,,1.01743791
10,P48431,HGNC:11195,SOX2,SRY-box transcription factor 2,,,1.064086233
11,Q7Z698,HGNC:17722,SPRED2,sprouty related EVH1 domain containing 2,Spred-2|FLJ21897|FLJ31917,,2.004457288
12,Q7Z3Z3,HGNC:18443,PIWIL3,piwi like RNA-mediated gene silencing 3,HIWI3,,1.417452269
13,Q96F83,HGNC:20126,CLBA1,clathrin binding box of aftiphilin containing 1,,,26.83116626
14,Q9BV73,HGNC:1859,CEP250,centrosomal protein 250,C-NAP1,,1.167749228
15,P48382,HGNC:9986,RFX5,regulatory factor X5,,,1.846930788
16,Q49AG3,HGNC:30803,ZBED5,zinc finger BED-type containing 5,Buster1,,1.478415058
17,P30307,HGNC:1727,CDC25C,cell division cycle 25C,PPP1R60,"protein phosphatase 1, regulatory subunit 60|CDC25 homolog C (S. pombe)|M-phase inducer phosphatase 3",1.322757979
18,P08758,HGNC:543,ANXA5,annexin A5,CPB-I|PAP-I|VAC-alph|RPRGL3,annexin V|Calphobindin I|Placental anticoagulant protein I|Vascular anticoagulant-alpha|endonexin II,3.133470401
19,Q6PI47,HGNC:26446,KCTD18,potassium channel tetramerization domain containing 18,FLJ31322|6530404F10Rik|FLJ37818,,1.176006306
20,Q49AR2,HGNC:25639,C5orf22,chromosome 5 open reading frame 22,FLJ11193,,1.672707371
21,Q9H8E8,HGNC:15904,KAT14,lysine acetyltransferase 14,CRP2BP|dJ717M23.1|PRO1194|ATAC2,cysteine rich protein 2 binding protein|ATAC component 2 homolog (Drosophila),1.854286154
22,Q9HCM7,HGNC:29308,FBRSL1,fibrosin like 1,KIAA1545,,1.683296437
23,Q9NWN3,HGNC:20201,FBXO34,F-box protein 34,FLJ20725|Fbx34,,14.6662694
24,O75340,HGNC:8765,PDCD6,programmed cell death 6,ALG-2|PEF1B,apoptosis-linked gene-2,2.403951327
25,Q8WYA0,HGNC:14313,IFT81,intraflagellar transport 81,CDV-1R|MGC4027,,1.501845534
26,Q9Y6D5,HGNC:15853,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,BIG2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,1.109347456
27,P35548,HGNC:7392,MSX2,msh homeobox 2,CRS2|FPP|HOX8|MSH|PFM,"craniosynostosis, type 2",1.304373575
28,Q86X02,HGNC:29999,CDR2L,cerebellar degeneration related protein 2 like,HUMPPA,paraneoplastic antigen,1.240816338
29,O95600,HGNC:6351,KLF8,KLF transcription factor 8,BKLF3|ZNF741|DXS741,,1.774173161
30,P49116,HGNC:7972,NR2C2,nuclear receptor subfamily 2 group C member 2,TAK1|TR2R1|hTAK1,,13.70449679
31,Q96MP5,HGNC:16157,ZSWIM3,zinc finger SWIM-type containing 3,dJ337O18.7|PPP1R174,"protein phosphatase 1, regulatory subunit 174",1.196331271
32,P51531,HGNC:11098,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",BAF190|hSNF2a|hBRM|Sth1p|SNF2LA|BRM|SNF2|SWI2,brahma homolog,1.294670504
33,Q8IYJ3,HGNC:15584,SYTL1,synaptotagmin like 1,SLP1|JFC1|FLJ14996|exophilin-7,,8.435462029
34,Q9UPV7,HGNC:29180,PHF24,PHD finger protein 24,GINIP,Gα inhibitory interacting protein,21.3263448
35,Q9UK58,HGNC:20569,CCNL1,cyclin L1,ania-6a,,1.884580016
36,Q14191,HGNC:12791,WRN,WRN RecQ like helicase,RECQL2|RECQ3,,1.680998745
37,O75031,HGNC:5226,HSF2BP,heat shock transcription factor 2 binding protein,MEILB2,heat shock factor 2 binding protein|meiotic localizer of BRCA2,1.606619405
38,P43487,HGNC:9847,RANBP1,RAN binding protein 1,HTF9A,,1.455733486
39,P53778,HGNC:6874,MAPK12,mitogen-activated protein kinase 12,ERK6|PRKM12|p38gamma|SAPK-3,,1.534457312
40,Q96IU4,HGNC:28235,ABHD14B,abhydrolase domain containing 14B,MGC15429|CIB,CCG1/TAFII250-interacting factor B,1.107897193
41,O95400,HGNC:1656,CD2BP2,CD2 cytoplasmic tail binding protein 2,LIN1|Snu40|PPP1R59|U5-52K,"protein phosphatase 1, regulatory subunit 59",1.140930953
42,A6NI79,HGNC:24487,CCDC69,coiled-coil domain containing 69,FLJ13705|DKFZP434C171,,1.905770035
43,Q12894,HGNC:5457,IFRD2,interferon related developmental regulator 2,SKMc15|SM15|IFNRP,interferon-related protein,7.236212555
44,Q5VZ46,HGNC:29327,KIAA1614,KIAA1614,,,2.261288593
45,Q9NXZ1,HGNC:30369,SAGE1,sarcoma antigen 1,SAGE|CT14,cancer/testis antigen 14,1.991082264
46,Q5SXH7,HGNC:26285,PLEKHS1,pleckstrin homology domain containing S1,FLJ23537|bA211N11.2,,1.877246408
47,Q8N841,HGNC:26664,TTLL6,tubulin tyrosine ligase like 6,FLJ35808,,1.03797075
48,P36952,HGNC:8949,SERPINB5,serpin family B member 5,maspin,protease inhibitor 5 (maspin),1.319276278
49,Q8TF30,HGNC:30493,WHAMM,"WASP homolog associated with actin, golgi membranes and microtubules",KIAA1971|WHAMM1,,2.176260282
50,Q9NSB8,HGNC:17513,HOMER2,homer scaffold protein 2,CPD|Cupidin|Vesl-2|HOMER-2B|HOMER-2|HOMER-2A|DFNA68,,1.197113062
51,P31689,HGNC:5229,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,HSPF4|hdj-2|dj-2|NEDD7,"neural precursor cell expressed, developmentally down-regulated 7",1.224881254
52,Q9P202,HGNC:16361,WHRN,whirlin,CIP98|USH2D|PDZD7B,,2.514054032
53,O96013,HGNC:16059,PAK4,p21 (RAC1) activated kinase 4,,,1.149665831
54,Q6P589,HGNC:26277,TNFAIP8L2,TNF alpha induced protein 8 like 2,FLJ23467,,1.328891242
55,Q4KMZ1,HGNC:25545,IQCC,IQ motif containing C,FLJ10547,,1.105649172
56,Q6P5Q4,HGNC:6648,LMOD2,leiomodin 2,C-Lmod,cardiac leiomodin,2.191683696
57,Q9BYG5,HGNC:16245,PARD6B,par-6 family cell polarity regulator beta,PAR-6B,,1.477932908
58,P43355,HGNC:6796,MAGEA1,MAGE family member A1,MGC9326|CT1.1,"melanoma-associated antigen 1|melanoma-associated antigen MZ2-E|melanoma antigen MAGE-1|melanoma antigen family A 1|cancer/testis antigen family 1, member 1",1.431328391
59,Q8N954,HGNC:26768,GPATCH11,G-patch domain containing 11,FLJ38348|CENPY|CENP-Y,centromere protein Y,1.1513756
60,P09874,HGNC:270,PARP1,poly(ADP-ribose) polymerase 1,PARP|ARTD1|Poly-PARP|PARS,,1.308070966
61,Q9Y572,HGNC:10021,RIPK3,receptor interacting serine/threonine kinase 3,RIP3,,2.520586821
62,Q6ZW76,HGNC:29422,ANKS3,ankyrin repeat and sterile alpha motif domain containing 3,KIAA1977|FLJ32345|FLJ32767,,3.539114938
63,O15265,HGNC:10560,ATXN7,ataxin 7,OPCA3|ADCAII|SGF73,Autosomal dominant cerebellar ataxia with retinal degeneration|SAGA associated factor 73 kDa homolog (S. cerevisiae),31.3317046
64,O43423,HGNC:16675,ANP32CP,"acidic nuclear phosphoprotein 32 family member C, pseudogene",PP32R1,,1.245204176
65,Q9Y2K2,HGNC:29165,SIK3,SIK family kinase 3,FLJ12240|L19|KIAA0999|QSK,salt-inducible kinase 3,1.864836346
66,P18031,HGNC:9642,PTPN1,protein tyrosine phosphatase non-receptor type 1,,,1.309920789
67,Q9P2D7,HGNC:2940,DNAH1,dynein axonemal heavy chain 1,XLHSRF-1|DNAHC1|HDHC7|HL-11|HL11,,1.75816179
68,Q13428,HGNC:11654,TCOF1,treacle ribosome biogenesis factor 1,treacle|TCS,,1.279904046
69,Q8IZQ5,HGNC:18251,SELENOH,selenoprotein H,SELH,,2.875042801
70,Q9UDT6,HGNC:2586,CLIP2,CAP-Gly domain containing linker protein 2,CLIP-115|KIAA0291|WSCR4|CLIP|WSCR3,,1.918401843
71,Q8IWE2,HGNC:25087,FAM114A1,family with sequence similarity 114 member A1,Noxp20,,1.105545668
72,Q8WVD5,HGNC:21159,RNF141,ring finger protein 141,ZFP26|ZNF230,,1.784037545
73,O94979,HGNC:17052,SEC31A,"SEC31 homolog A, COPII coat complex component",KIAA0905|ABP125|ABP130,,3.360838887
74,P20337,HGNC:9778,RAB3B,"RAB3B, member RAS oncogene family",,,1.947070791
