,uniprot_ids,ev_association_score,hgnc_id,symbol,name,alias_symbol,alias_name
0,Q5JRA6,1.3060219645331714,HGNC:24008,MIA3,MIA SH3 domain ER export factor 3,UNQ6077|FLJ39207|KIAA0268|TANGO|TANGO1,C219 reactive peptide|transport and golgi organization
1,P32856,2.1056394966489687,HGNC:3403,STX2,syntaxin 2,EPM,
2,Q9HCU5,1.045282674561406,HGNC:9356,PREB,prolactin regulatory element binding,SEC12,
3,Q8N6P7,1.2815337873675465,HGNC:13700,IL22RA1,interleukin 22 receptor subunit alpha 1,CRF2-9,
4,P41732,2.4097854650781136,HGNC:11854,TSPAN7,tetraspanin 7,DXS1692E|TALLA-1|A15|CD231,
5,Q13936,1.2621940288754119,HGNC:1390,CACNA1C,calcium voltage-gated channel subunit alpha1 C,Cav1.2|CACH2|CACN2|TS|LQT8,
6,O15400,2.591736532474333,HGNC:11442,STX7,syntaxin 7,,
7,Q13563,1.741662962943328,HGNC:9009,PKD2,"polycystin 2, transient receptor potential cation channel",PKD4|PC2|Pc-2|TRPP2,"transient receptor potential cation channel, subfamily P, member 2"
8,Q96A59,3.1001724765129484,HGNC:30525,MARVELD3,MARVEL domain containing 3,,
9,Q9Y2J8,1.8101878434930685,HGNC:18341,PADI2,peptidyl arginine deiminase 2,KIAA0994|PDI2,
10,Q16625,1.6985948283317815,HGNC:8104,OCLN,occludin,PPP1R115,"tight junction protein occludin TM4 minus|phosphatase 1, regulatory subunit 115"
11,P21817,1.5255508130242483,HGNC:10483,RYR1,ryanodine receptor 1,RYR|PPP1R137,"protein phosphatase 1, regulatory subunit 137"
12,Q86UW2,1.1949126589471968,HGNC:29956,SLC51B,SLC51 subunit beta,OSTbeta|SLC51A1BP,organic solute transporter beta subunit|SLC51A1 binding protein
13,P24071,1.0981306570861435,HGNC:3608,FCAR,Fc alpha receptor,CD89|FcalphaRI|FcalphaR,
14,Q8N114,4.120587584991852,HGNC:30376,SHISA5,shisa family member 5,SCOTIN|hShisa5,
15,Q9HD36,2.1231892563301598,HGNC:993,BCL2L10,BCL2 like 10,Diva|Boo|BCL-B,
16,Q08380,3.6200072914452424,HGNC:6564,LGALS3BP,galectin 3 binding protein,MAC-2-BP|90K|BTBD17B|TANGO10B|M2BP|gp90|CyCAP,L3 antigen|Mac-2-binding protein|serum protein 90K|transport and golgi organization 10 homolog B (Drosophila)
17,Q02505,2.4386484256770737,HGNC:7513,MUC3A,"mucin 3A, cell surface associated",,
18,Q8NDH2,1.19568016185494,HGNC:26851,CCDC168,coiled-coil domain containing 168,FLJ40176,
19,P21754,1.63123365023718,HGNC:13189,ZP3,zona pellucida glycoprotein 3,ZP3-424|ZP3-372|ZPC,
20,P29972,5.420216186078297,HGNC:633,AQP1,aquaporin 1 (Colton blood group),CHIP28,
21,Q92911,27.30353261245104,HGNC:11040,SLC5A5,solute carrier family 5 member 5,NIS,sodium iodide symporter
22,P19075,1.5561055969960953,HGNC:11855,TSPAN8,tetraspanin 8,CO-029,
23,Q14849,1.738884254680607,HGNC:17579,STARD3,StAR related lipid transfer domain containing 3,es64|MLN64,
24,Q9UHN6,3.0258154625459266,HGNC:11869,CEMIP2,cell migration inducing hyaluronidase 2,,
25,P20309,1.4596121420056118,HGNC:1952,CHRM3,cholinergic receptor muscarinic 3,m3AChR,"acetylcholine receptor, muscarinic 3"
26,P53985,2.907039417176047,HGNC:10922,SLC16A1,solute carrier family 16 member 1,MCT|MCT1,Monocarboxylate transporter 1
27,P08962,2.31450155056905,HGNC:1692,CD63,CD63 molecule,ME491|TSPAN30|HOP-26|Pltgp40|AD1,AD1 antigen
28,O75379,1.1919523773783698,HGNC:12645,VAMP4,vesicle associated membrane protein 4,,
29,P41440,1.2996663969851843,HGNC:10937,SLC19A1,solute carrier family 19 member 1,FOLT|RFC1|IFC-1|RFC|hRFC|RFT-1,reduced folate carrier 1|Folate transporter 1|intestinal folate carrier 1|Folate:anion antiporter SLC19A1
30,Q8NFR9,1.428813644947136,HGNC:18439,IL17RE,interleukin 17 receptor E,FLJ23658,
